id;categoria;subcategoria;tipo;texto_español;texto_aymara;texto_quechua;seccion_origen;requiere_revision;candidato_audio;estado
PHR-0001;comunicacion;presentacion;respuesta;Yo soy el doctor/la doctora;Nayax qullirïtwa;Ñuqaqa doctormi kani..;comunicacion;FALSE;TRUE;borrador
PHR-0002;comunicacion;idioma;respuesta;Yo hablo poquito Aymara;Nayax mä juk’it aymar parlastwa;Aymarata pisillatam rimani;comunicacion;FALSE;TRUE;borrador
PHR-0003;comunicacion;instrucciones;instruccion;Cuando te pregunte me vas a decir si o me vas a decir no;Jiskt’äma ukhax, jïsa sitätawa jan ukax janiwa sitätawa;Tapuptiyqa, ¿arí niwankichu icha manachu niwanki?;comunicacion;FALSE;TRUE;borrador
PHR-0004;comunicacion;confirmacion;pregunta;¿Sí?;¿Jïsa?;Arí?;comunicacion;FALSE;TRUE;borrador
PHR-0005;comunicacion;confirmacion;pregunta;¿No?;¿Janiti?;Mana?;comunicacion;FALSE;TRUE;borrador
PHR-0006;comunicacion;identificacion;pregunta;¿Cómo te llamas?;¿Sutimax kunasa?;Imataq sutiyki?;comunicacion;FALSE;TRUE;borrador
PHR-0007;comunicacion;identificacion;pregunta;¿Cuántos años tienes?;Kawqha maranitasa?;Hayka watayuqtaq kanki?;comunicacion;FALSE;TRUE;borrador
PHR-0008;comunicacion;comprension;pregunta;¿Comprendiste todo?;¿Taqi kunsa amuyawaytati?;¿Tukuy imatachu entienderqanki?;comunicacion;FALSE;TRUE;borrador
PHR-0009;comunicacion;comprension;respuesta;Sí entendí;Jisa nayajj amuyasta;Arí entienderqanim;comunicacion;FALSE;TRUE;borrador
PHR-0010;comunicacion;comprension;respuesta;No entendí;Nayajj janiw amuykayätti;Manam entienderqanichu;comunicacion;FALSE;TRUE;borrador
PHR-0011;comunicacion;consulta;pregunta;¿Tiene alguna pregunta?;¿Kuna jisktʼanakas utji?;¿Ima tapukuyniykipas kanchu?;comunicacion;FALSE;TRUE;borrador
PHR-0012;comunicacion;consulta;respuesta;Sí tengo una pregunta;Nayax mä jiskt’äwinïtwa;Sichus tapukuyniy kanman chayqa;comunicacion;FALSE;TRUE;borrador
PHR-0013;comunicacion;consulta;respuesta;No, ninguna pregunta;Janiwa, janiw jiskt’asiñas utjkiti;Mana mana tapukuykuna;comunicacion;FALSE;TRUE;borrador
PHR-0014;comunicacion;repeticion;pregunta;¿Le repito algo?;¿Kunsa mayamp mayamp lurañaja?;¿Imatapas yapamanta rimasac?;comunicacion;FALSE;TRUE;borrador
PHR-0015;farmacia;dosis;pregunta;¿Cuándo debo tomar?;¿Kunapachas umañajaxa?;¿Hayka hampikunatataq upyanay?;comunicacion;FALSE;TRUE;borrador
PHR-0016;farmacia;dosis;pregunta;¿Cómo debo tomar?;¿Kunjamsa apsuñaja?;¿Imaynatataq hampita upyanay?;comunicacion;FALSE;TRUE;borrador
PHR-0017;farmacia;dosis;pregunta;¿Qué tengo que tomar?;¿Kunsa nayajj apasiñaja?;¿Ima hampikunatataq upyanay?;comunicacion;FALSE;TRUE;borrador
PHR-0018;comunicacion;apoyo;pregunta;¿Necesita algo más?;¿Yaqhanak munasmati?;¿Imatapas necesitankichu?;comunicacion;FALSE;TRUE;borrador
PHR-0019;comunicacion;confirmacion;opcion;Sí;Jisa;Arí;comunicacion;FALSE;TRUE;borrador
PHR-0020;comunicacion;confirmacion;opcion;No;Janiwa;Mana;comunicacion;FALSE;TRUE;borrador
PHR-0021;comunicacion;cortesia;respuesta;Gracias;Pay suma;Añay;comunicacion;FALSE;TRUE;borrador
PHR-0022;comunicacion;despedida;respuesta;Hasta luego;Ukat jikisiñani;Asllakama;comunicacion;FALSE;TRUE;borrador
PHR-0023;comunicacion;despedida;respuesta;Que le vaya bien;Taqi kunas sum sarañapataki suyt’añani;Suyakuy tukuy imapas allinta purinata;comunicacion;FALSE;TRUE;borrador
PHR-0024;comunicacion;cuidado;instruccion;Tiene que cuidarse;Juma pachpaw sum uñjasiñama;Kikiykitam cuidakunayki;comunicacion;FALSE;TRUE;borrador
PHR-0025;comunicacion;despedida;respuesta;Que tenga buen día;Aski uru churätam;Campaj alin punchau;comunicacion;FALSE;TRUE;borrador
PHR-0026;antecedentes;habitos;pregunta;¿Fumas?;¿Pitirïtati?;¿Qamchu cigarrota pitanki?;antecedentes;FALSE;TRUE;borrador
PHR-0027;antecedentes;habitos;pregunta;¿Tomas bebidas alcohólicas?;¿Machañ umañanak umirïtati?;¿Machaytachu ukyanki?;antecedentes;FALSE;TRUE;borrador
PHR-0028;antecedentes;entorno_familiar;pregunta;¿En tu casa hay personas que tosen?;¿Utaman ujump usutanakax utjiti?;¿Kanchu wasiykipi tosaq runakuna?;antecedentes;TRUE;TRUE;borrador
PHR-0029;antecedentes;medicacion;pregunta;¿Tomas medicamentos?;¿Qullanak umirïtati?;¿Hampikunatachu tomanki?;antecedentes;FALSE;TRUE;borrador
PHR-0030;antecedentes;medicacion;pregunta;¿Qué medicamentos?;¿Kawkïr qullanaka?;¿Hampikunatachu tomanki?;antecedentes;TRUE;TRUE;borrador
PHR-0031;antecedentes;enfermedades_previas;pregunta;¿Has estado enfermo de diabetes?;¿Diabetes usump usuntirïtati?;¿Diabetes onqoywanchu onqorqanki?;antecedentes;FALSE;TRUE;borrador
PHR-0032;antecedentes;cicatrizacion;pregunta;¿Cuándo te cortas sana bien?;¿Janch khart’asktä ukhax sumakit jaktam?;¿Allintachu qhaliyapun?;antecedentes;TRUE;TRUE;borrador
PHR-0033;antecedentes;entorno_familiar;pregunta;¿En tu casa hay alguien enfermo?;¿Utaman usutax utjiti?;¿Wasiykipi pipas unquq kanchu?;antecedentes;FALSE;TRUE;borrador
PHR-0034;antecedentes;entorno_familiar;pregunta;¿De qué está enfermo?;¿Kunat usutasa?;¿Imawantaq unquchkan?;antecedentes;FALSE;TRUE;borrador
PHR-0035;sintomas;tiempo;pregunta;¿Desde cuándo?;¿Kunapachata?;¿Hayk’aqmantapacha?;sintomas;FALSE;TRUE;borrador
PHR-0036;sintomas;tiempo;pregunta;¿Cuántos días?;¿Qawqha urunaka?;¿Hayka punchawtaq?;sintomas;FALSE;TRUE;borrador
PHR-0037;sintomas;tiempo;pregunta;¿Un rato?;¿Mä juk’a pachakiti?;¿Huk ratulla?;sintomas;FALSE;TRUE;borrador
PHR-0038;sintomas;tiempo;pregunta;¿Un día?;¿Mä uruti?;¿Huk punchawchu?;sintomas;FALSE;TRUE;borrador
PHR-0039;sintomas;tiempo;pregunta;¿Dos días?;¿Pä uruti?;¿Iskay punchaw?;sintomas;FALSE;TRUE;borrador
PHR-0040;sintomas;tiempo;pregunta;¿Tres días?;¿Kimsa uruti?;¿Kimsa punchaw?;sintomas;FALSE;TRUE;borrador
PHR-0041;sintomas;tiempo;pregunta;¿Una semana?;¿Mä paqüruti?;¿Huk semanachu?;sintomas;FALSE;TRUE;borrador
PHR-0042;sintomas;tiempo;pregunta;¿Dos semanas?;¿Pä paqüruti?;¿Iskay semanachu?;sintomas;FALSE;TRUE;borrador
PHR-0043;sintomas;tiempo;pregunta;¿Un mes?;¿Mä phaxsiti?;¿Huk killachu?;sintomas;FALSE;TRUE;borrador
PHR-0044;sintomas;tiempo;pregunta;¿Dos meses?;¿Pä phaxsiti?;¿Iskay killa?;sintomas;FALSE;TRUE;borrador
PHR-0045;sintomas;tiempo;pregunta;¿Un año?;¿Mä marati?;¿Huk watachu?;sintomas;FALSE;TRUE;borrador
PHR-0046;sintomas;tiempo;pregunta;¿Dos años?;¿Pä marati?;¿Iskay wata?;sintomas;FALSE;TRUE;borrador
PHR-0047;sintomas;tiempo;pregunta;¿Varios años?;¿Walja maranakati?;¿Achka watakuna?;sintomas;FALSE;TRUE;borrador
PHR-0048;sintomas;tiempo;pregunta;¿Cuándo empezó?;¿Kunapachats qallti?;¿Hayk’aqmi qallarirqan?;sintomas;FALSE;TRUE;borrador
PHR-0049;sintomas;tiempo_dia;pregunta;¿A qué hora del día?;¿Kuna horasarus urunxa?;¿Ima horapitaq?;sintomas;FALSE;TRUE;borrador
PHR-0050;sintomas;tiempo_dia;pregunta;¿Al amanecer?;¿Willjtaruti?;¿Achikyaypi?;sintomas;FALSE;TRUE;borrador
PHR-0051;sintomas;tiempo_dia;pregunta;¿En la mañana?;¿Alwati?;Tutamanta?;sintomas;TRUE;TRUE;borrador
PHR-0052;sintomas;tiempo_dia;pregunta;¿Al mediodía?;¿Chika ururuti?;Chawpi punchawpi?;sintomas;FALSE;TRUE;borrador
PHR-0053;sintomas;tiempo_dia;pregunta;¿En la tarde?;¿Jayp’utuqiruti?;¿Tardetachu?;sintomas;TRUE;TRUE;borrador
PHR-0054;sintomas;tiempo_dia;pregunta;¿Al anochecer?;¿Arumthapiruti?;¿Ch’isiyaypichu?;sintomas;FALSE;TRUE;borrador
PHR-0055;sintomas;tiempo_dia;pregunta;¿En la noche?;¿Arumati?;Tutapi?;sintomas;FALSE;TRUE;borrador
PHR-0056;sintomas;tiempo_dia;pregunta;¿Todo el día?;¿Urpachati?;¿Tukuy punchawchu?;sintomas;FALSE;TRUE;borrador
PHR-0057;sintomas;dolor;pregunta;¿Te está doliendo?;¿Ususktamti?;¿K’irichisunkichu?;sintomas;TRUE;TRUE;borrador
PHR-0058;sintomas;dolor;pregunta;¿Qué te duele?;¿Kunas ustamxa?;¿Imataq k’irisunki?;sintomas;FALSE;TRUE;borrador
PHR-0059;sintomas;dolor;pregunta;¿Desde cuándo te duele?;¿Kunapachats ustamxa?;¿Hayk’aqmantapachan k’irisunki?;sintomas;FALSE;TRUE;borrador
PHR-0060;sintomas;dolor;pregunta;¿Cuánto tiempo te duele?;¿T’ajax qawch’apachaxisa?;¿Hayk’aqkamataq nanawan?;sintomas;TRUE;TRUE;borrador
PHR-0061;sintomas;dolor;pregunta;¿Ha calmado?;¿Samarxtamti?;¿Hawkayarunñachu?;sintomas;TRUE;TRUE;borrador
PHR-0062;sintomas;dolor;pregunta;¿Ha aumentado?;¿Juk’ampit ustamxa?;¿Astasqachu?;sintomas;TRUE;TRUE;borrador
PHR-0063;sintomas;dolor;pregunta;¿Te duele la cabeza?;¿P’iqix ustamti?;¿Umayki nananchu?;sintomas;FALSE;TRUE;borrador
PHR-0064;sintomas;dolor;pregunta;¿Te duele en el cuello?;¿Kunkax ustamti?;¿Kunkayki nananchu?;sintomas;FALSE;TRUE;borrador
PHR-0065;sintomas;general;pregunta;¿Tienes fiebre?;¿Chhuju usunïtati?;¿Fiebreyuqchu kanki?;sintomas;FALSE;TRUE;borrador
PHR-0066;sintomas;general;pregunta;¿Tienes escalofríos?;¿Thäjump’inïtati?;¿Chirichiyuqchu kanki?;sintomas;FALSE;TRUE;borrador
PHR-0067;sintomas;general;pregunta;¿Sudas en la noche?;¿Arumax jump’tati?;¿Tutachu sudanki?;sintomas;FALSE;TRUE;borrador
PHR-0068;sintomas;general;pregunta;¿Estás comiendo bien?;¿Walikt manq’asiskta?;¿Allintachu mikhushanki?;sintomas;TRUE;TRUE;borrador
PHR-0069;sintomas;general;pregunta;¿Has enflaquecido?;¿Tuxunttati?;¿Llampuñachu kanki?;sintomas;TRUE;TRUE;borrador
PHR-0070;sintomas;general;pregunta;¿Estás durmiendo bien?;¿Walikit ikiskta?;¿Allintachu puñuchkanki?;sintomas;TRUE;TRUE;borrador
PHR-0071;sintomas;general;pregunta;¿Sientes escozor?;¿Jastamti?;¿Picazón sientenkichu?;sintomas;TRUE;TRUE;borrador
PHR-0072;sintomas;respiratorio;pregunta;¿Estás tosiendo?;¿Ujumpïtati?;¿Tosaqchu kachkanki?;sintomas;TRUE;TRUE;borrador
PHR-0073;sintomas;respiratorio;pregunta;¿Desde cuándo estás tosiendo?;¿Kunapachats ujta?;¿Hayk’aqmantapachan tosashanki?;sintomas;TRUE;TRUE;borrador
PHR-0074;sintomas;respiratorio;pregunta;¿Te duele el pecho al toser?;¿Ujktä ukhax lluquchuymax ustamti?;¿Toskuspayki sinqayki nananchu?;sintomas;TRUE;TRUE;borrador
PHR-0075;sintomas;respiratorio;pregunta;¿Estás escupiendo flemas cuando toses?;¿Ujktä ukhax jurmallawsanak thustati?;¿Toskuspaqa flematachu thuqachkanki?;sintomas;TRUE;TRUE;borrador
PHR-0076;sintomas;respiratorio;pregunta;¿No puedes respirar?;¿Janit samsuñ atkta?;¿Manachu samayta atinki?;sintomas;TRUE;TRUE;borrador
PHR-0077;sintomas;digestivo;pregunta;¿Cómo era la diarrea?;¿Wich’ux kunjamänsa?;¿Imaynataq chay diarrea karqa?;sintomas;TRUE;TRUE;borrador
PHR-0078;sintomas;digestivo;pregunta;¿No has podido defecar?;¿Janit jumanakax defecañ puedipkta?;¿Manachu defecakuyta atirqanki?;sintomas;TRUE;TRUE;borrador
PHR-0079;sintomas;digestivo;pregunta;¿Cómo son tus heces?;¿Kunjamsa heces ukanakamax utji?;¿Imaynataq hecesniykikuna?;sintomas;TRUE;TRUE;borrador
PHR-0080;sintomas;digestivo;pregunta;¿Has tenido ganas de vomitar?;¿Waq’aqiñax purtamti?;¿Vomitayta munarqankichu?;sintomas;TRUE;TRUE;borrador
PHR-0081;sintomas;digestivo;pregunta;¿Cuántas veces al día has vomitado?;¿Qawqhakutis urunx waq’aqsta?;¿Hayka kutitataq sapa punchaw aqturqanki?;sintomas;TRUE;TRUE;borrador
PHR-0082;sintomas;urinario;pregunta;¿Te duele al orinar?;¿Chhuxurktä ukhax ustamti?;¿Nananchu urinakuspayki?;sintomas;TRUE;TRUE;borrador
PHR-0083;sintomas;urinario;pregunta;¿Cuántas veces al día orinas?;¿Qawqhakutis urunx chhuxurta?;¿Hayka kutitataq sapa punchaw urinanki?;sintomas;TRUE;TRUE;borrador
PHR-0084;sintomas;urinario;pregunta;¿Tu orina tiene mal olor?;¿Chhuxumax thujsati?;¿Mana allin asnaqchu urinayki?;sintomas;TRUE;TRUE;borrador
PHR-0085;sintomas;circulatorio;pregunta;¿Se te hinchan los pies?;¿Kayunakamax p’usunttamti?;¿Chakiykikuna punkinchu?;sintomas;TRUE;TRUE;borrador
PHR-0086;exploracion;estado_general;pregunta;¿Cómo estás?;¿Kunjamäsktasa?;Imaynallam?;exploracion;FALSE;TRUE;borrador
PHR-0087;exploracion;estado_general;pregunta;¿Sano?;¿K’umarakïtati?;¿Allinchu?;exploracion;TRUE;TRUE;borrador
PHR-0088;exploracion;estado_general;pregunta;¿Bien?;¿Walikïtati?;¿Allinchu?;exploracion;TRUE;TRUE;borrador
PHR-0089;exploracion;estado_general;pregunta;¿Enfermo?;¿Usutätati?;¿Unqusqa?;exploracion;TRUE;TRUE;borrador
