id;categoria;subcategoria;tipo;texto_es;texto_ay;texto_qu;seccion;candidato_audio
PHR-0157;laboratorio;examen_orina_detecta;pregunta;¿QUÉ DETECTA EL EXAMEN GENERAL DE ORINA?;¿KUNA USUNAKATAKIS MÄ PRUEBA GENERAL DE ORINA UKAXA?;¿IMAKUNATATAQ PRUEBA GENERAL DE ORINA NISQA TARIN?;laboratorio;FALSE
PHR-0158;laboratorio;examen_orina_detecta;instruccion;Infecciones del Tracto Urinario (ITU) Diabetes mellitus. Enfermedades renales Enfermedades hepáticas Cálculos renales Trastornos hematológicos Deshidratación y alteraciones electrolíticas;Infecciones urinaria ukaxa (UTI) Diabetes mellitus sat usunïña Riñon usunaka Jiphilla usunaka Riñon qalanaka Trastornos hematológicos ukanaka Deshidratación ukatxa electrolito ukanaka mayjt’ayaña.;Infecciones de Tracto Urinaria (UTI) nisqamanta. Diabetes mellitus nisqa unquy Riñon unquykuna Higado unquykuna Riñon rumikuna Trastornos hematológicos nisqakuna Deshidratación y electrolito nisqa ch’aqway;laboratorio;FALSE
PHR-0159;laboratorio;muestra_orina_envase;pregunta;¿QUÉ DATOS DEBE TENER EL ENVASE DE LA MUESTRA?;¿KUNA YATIYAWINAKSA MUESTRA ENVASE UKANXA UTJAÑAPA?;¿IMA WILLAKUYKUNATAQ MUESTRA WAQAYCHANAPI KANAN?;laboratorio;FALSE
PHR-0160;laboratorio;muestra_orina_envase;instruccion;Nombre completo Edad Número de identificación Fecha y hora de recolección de la muestra Teléfono;Phuqat sutipa Irara Tarjeta de identidad ukaxa mä jakhuwa Kuna pachasa ukatxa kuna pachasa muestra apthapita Teléfono ukan jakhupa;Lliw suti Hayka wata Riqsichikuq yupay Muestra huñunapaq punchaw hinaspa pacha Telefono;laboratorio;FALSE
PHR-0161;laboratorio;muestra_orina_procedimiento;instruccion;PROCEDIMIENTO PARA LA RECOLECCIÓN DE LA MUESTRA;PROCEDIMIENTO UKA MUESTRA APXATAÑATAKI;PROCEDIMIENTO DE MUESTRA HUÑUNAPAQ;laboratorio;FALSE
PHR-0162;laboratorio;muestra_orina_procedimiento;instruccion;Lavarse las manos con agua y jabón y colocarse los guantes.;Jabonampi umampi amparanaka jariqasiña ukatsti guantes uchasiña.;Makinchikta jabonwan yakuwan mayllakuspa guanteswan churakuy.;laboratorio;FALSE
PHR-0163;laboratorio;muestra_orina_procedimiento;instruccion;Limpiar al área genital;Genital uksa q’umachaña;Qhari-warmi pampata pichay;laboratorio;FALSE
PHR-0164;laboratorio;muestra_orina_procedimiento;instruccion;Comenzar a orinar, dejar que la primera parte de la orina salga en el inodoro;Urina qalltaña, nayrïri chiqa urinaxa baño ukar mistuñapawa;Urinayta qallariy, urinamanta ñawpaq kaq parteta bañoman lluqsichun;laboratorio;FALSE
PHR-0165;laboratorio;muestra_orina_procedimiento;instruccion;Colocar el frasco estéril en la corriente de orina y recolectar sin que el envase toque la piel.;Uka botella estéril ukaxa urina umaru uchañawa ukatxa apthapiñawa janïra phukhuxa janchiru llamkt’asa.;Chay estéril botellataqa urina mayuman churaspa huñuna mana chay p’uyñu qarata llamispa.;laboratorio;FALSE
PHR-0166;laboratorio;muestra_orina_procedimiento;instruccion;Asegurar bien el frasco y lavarse las manos;Botella suma katxaruña, amparanaka jariqaña;Botellata allinta wataspa makiykita mayllana;laboratorio;FALSE
